"Country Name","Promedio_10_Años_Crec_pib","Efectividad gobierno","Control corrupcion","Cal Regulacion","Voz_y_Rendicion_cuentas","Promedio_10_Años_GDP_PerCap"
"Albania",2.9648941950832,0.250855356454849,-0.332218527793884,0.171953663229942,0.168997228145599,5421.01495747242
"Algeria",2.19090909090909,-0.670135140419006,-0.589308321475983,-0.948087155818939,-0.979883790016174,4819.48660246159
"Angola",0.50744166535075,-1.00890958309174,-0.60992020368576,-0.761388182640076,-0.737252414226532,2805.90561254979
"Argentina",0.267635562192337,-0.377517342567444,-0.360883951187134,-0.482535392045975,0.533921837806702,12292.2241587048
"Armenia",4.55454545454893,-0.184129968285561,0.0583996474742889,0.047635018825531,0.0767075568437576,4619.1124961639
"Australia",2.46841768229142,1.58987963199615,1.78120493888855,1.94220554828644,1.50660192966461,58695.4489899235
"Austria",1.20338803700396,1.32668149471283,1.1336532831192,1.36136972904205,1.41124832630157,49946.9303836011
"Azerbaijan",1.62813739262426,-0.0326422192156315,-1.19547140598297,-0.108809567987919,-1.41153395175934,5761.32540921451
"Bahamas, The",0.953790887981437,0.270353257656097,1.26691007614136,0.00718375248834491,0.860349118709564,30537.6890931732
"Bahrain",2.94403816276236,0.697198748588562,0.177784815430641,1.07798528671265,-1.37783300876617,26424.5734159762
"Bangladesh",6.43581806443585,-0.697334110736847,-1.12086641788483,-0.914152979850769,-0.753886342048645,1893.79307326156
"Barbados",0.567470552286534,0.380443245172501,1.34458589553833,0.503107726573944,1.16219222545624,19995.4909792688
"Belarus",0.401420813015602,-0.991465747356415,-0.665028035640717,-1.41953349113464,-1.66739654541016,6925.98678196151
"Belgium",1.58443006963285,1.03702199459076,1.3368444442749,1.16822481155396,1.32572901248932,47183.4613096566
"Belize",2.69331965813398,-0.376311779022217,-0.226113811135292,-0.430582851171494,0.539004623889923,6231.59188218947
"Benin",5.59197727972547,-0.218984127044678,-0.0495794489979744,-0.295836299657822,-0.218986943364143,1172.65751397373
"Bhutan",3.31621288949111,0.566305339336395,1.53142273426056,-0.401030838489532,0.200142219662666,4557.41334615736
"Bolivia",3.27948714583763,-0.639481067657471,-0.838301062583923,-1.17711877822876,-0.265191316604614,3279.02417374628
"Bosnia and Herzegovina",2.89385997838556,-0.967812538146973,-0.581560015678406,-0.141291111707687,-0.319465935230255,6096.96488331751
