"Country.Name","Promedio_10_Años_GDP_PerCap","Promedio_10_Años_Crec_pib","Efectividad.gobierno","Control.corrupcion","Cal.Regulacion","Voz_y_Rendicion_cuentas","Overall_score"
"Albania",5421.01495747242,2.9648941950832,0.250855356454849,-0.332218527793884,0.171953663229942,0.168997228145599,64.8
"Algeria",4819.48660246159,2.19090909090909,-0.670135140419006,-0.589308321475983,-0.948087155818939,-0.979883790016174,43.9
"Angola",2805.90561254979,0.50744166535075,-1.00890958309174,-0.60992020368576,-0.761388182640076,-0.737252414226532,54.3
"Argentina",12292.2241587048,0.267635562192337,-0.377517342567444,-0.360883951187134,-0.482535392045975,0.533921837806702,49.9
"Armenia",4619.1124961639,4.55454545454893,-0.184129968285561,0.0583996474742889,0.047635018825531,0.0767075568437576,64.9
"Australia",58695.4489899235,2.46841768229142,1.58987963199615,1.78120493888855,1.94220554828644,1.50660192966461,76.2
"Austria",49946.9303836011,1.20338803700396,1.32668149471283,1.1336532831192,1.36136972904205,1.41124832630157,68.4
"Azerbaijan",5761.32540921451,1.62813739262426,-0.0326422192156315,-1.19547140598297,-0.108809567987919,-1.41153395175934,61.6
"Bahamas, The",30537.6890931732,0.953790887981437,0.270353257656097,1.26691007614136,0.00718375248834491,0.860349118709564,NA
"Bahrain",26424.5734159762,2.94403816276236,0.697198748588562,0.177784815430641,1.07798528671265,-1.37783300876617,63.4
"Bangladesh",1893.79307326156,6.43581806443585,-0.697334110736847,-1.12086641788483,-0.914152979850769,-0.753886342048645,54.4
"Barbados",19995.4909792688,0.567470552286534,0.380443245172501,1.34458589553833,0.503107726573944,1.16219222545624,66.8
"Belarus",6925.98678196151,0.401420813015602,-0.991465747356415,-0.665028035640717,-1.41953349113464,-1.66739654541016,48.4
"Belgium",47183.4613096566,1.58443006963285,1.03702199459076,1.3368444442749,1.16822481155396,1.32572901248932,65.6
"Belize",6231.59188218947,2.69331965813398,-0.376311779022217,-0.226113811135292,-0.430582851171494,0.539004623889923,61.2
"Benin",1172.65751397373,5.59197727972547,-0.218984127044678,-0.0495794489979744,-0.295836299657822,-0.218986943364143,57.7
"Bhutan",4557.41334615736,3.31621288949111,0.566305339336395,1.53142273426056,-0.401030838489532,0.200142219662666,55.4
"Bolivia",3279.02417374628,3.27948714583763,-0.639481067657471,-0.838301062583923,-1.17711877822876,-0.265191316604614,43.5
"Bosnia and Herzegovina",6096.96488331751,2.89385997838556,-0.967812538146973,-0.581560015678406,-0.141291111707687,-0.319465935230255,62
"Botswana",7149.57695045198,3.80882367278641,0.430828422307968,0.685792088508606,0.497434794902802,0.504056930541992,68
"Brazil",9594.57299861341,0.765948379243382,-0.546764314174652,-0.503643155097961,-0.29647821187973,0.382853865623474,53.2
"Brunei Darussalam",32654.0209850871,-0.266498383210064,1.4017870426178,1.27803611755371,0.97689163684845,-0.715453028678894,65.9
"Bulgaria",9991.70585267386,2.40050823026288,0.047112051397562,-0.137721657752991,0.40789669752121,0.388988107442856,68.5
"Burkina Faso",773.589229996266,4.73696528869185,-0.826227486133575,-0.169615507125854,-0.485633552074432,-0.809887170791626,51.9
"Burma",15035.5656971373,2.94431417537184,-0.0215737025093819,-0.0674616439623893,-0.0420494016605829,-1.36691832542419,42.2
"Burundi",231.018898996878,1.50577255076105,-1.20011341571808,-1.55602598190308,-0.985730171203613,-0.0104894530560289,38.4
"Cabo Verde",4020.40202411518,2.66354694953327,0.0136766647920012,0.984857201576233,0.242902502417564,0.958101332187653,62.9
"Cambodia",1913.86962638954,5.94146598409856,-0.305874288082123,-1.29921674728394,-0.684618413448334,-1.29242181777954,55.6
"Cameroon",1573.97940728601,3.86125133381269,-0.906262576580048,-1.16255974769592,-0.913473010063171,-1.0663970708847,53.6
"Canada",48409.4684996778,1.80823178422517,1.51680326461792,1.67150104045868,1.64471042156219,1.4796462059021,72.4
"Central African Republic",434.81762712778,-1.14104231436622,-1.73500919342041,-1.31139302253723,-1.46841526031494,-1.2622481584549,41.3
"Chad",726.67531547408,1.44564776065689,-1.4791487455368,-1.48240697383881,-1.15642070770264,-1.43493866920471,51.4
"Chile",14925.67596401,2.04147585220009,0.71755576133728,0.968603789806366,0.925731718540192,1.01794922351837,71.4
"China",9812.40704179193,6.14698325308409,0.679014027118683,-0.00537010468542576,-0.356507807970047,-1.50455415248871,48.5
"Colombia",6693.45256577038,3.02740231330106,-0.075877919793129,-0.309191286563873,0.101034268736839,0.205213740468025,59.2
"Comoros",1508.08201503016,2.5148169577228,-1.53510224819183,-0.990109264850616,-1.23843240737915,-0.808809578418732,52
"Congo, Dem. Rep.",514.270508479913,6.05648139191117,-1.68906629085541,-1.48051190376282,-1.40857565402985,-1.21333003044128,NA
"Costa Rica",12646.6000070585,3.31001972108344,0.260196477174759,0.653749406337738,0.543547570705414,1.0699063539505,67.7
