"","Property_Rights","Government_Integrity","Judicial_Effectiveness","Tax_Burden","Government_Spending","Fiscal_Health","Business_Freedom","Labor_Freedom","Monetary_Freedom","Trade_Freedom","Investment_Freedom","Financial_Freedom","Cluster","Country","Promedio_10_Años_GDP_PerCap","Promedio_10_Años_Crec_pib","Efectividad.gobierno","Control.corrupcion","Cal.Regulacion","Voz_y_Rendicion_cuentas","Overall_score"
"123",62,51.5,26.9,79.1,70.1,12.5,53.6,39.5,69.8,53.8,60,40,"2","Samoa",4125.08530473938,0.994587392606308,0.492577105760574,0.671653091907501,-1.12207186222076,0.252305746078491,67.2
"124",51.6,46.6,61.4,88,80.5,87.8,52.5,41.5,60.6,65,60,30,"2","Saudi Arabia",26869.5294689506,2.37930972860129,0.796441078186035,0.360224694013596,-0.270534545183182,0.133976578712463,61.9
"125",47.6,43.9,37,99.1,67.2,79.5,69.9,44.4,79.6,74.2,50,50,"2","Senegal",1439.46300200467,5.08053883343267,0.0696751922369003,0.536042988300323,0.517070889472961,-0.0550001598894596,55.4
"126",55.5,45.6,50.5,69,79.2,21.7,54,54.5,68,66.2,60,40,"2","Serbia",7970.63922664408,2.55988063494178,0.00763431889936328,0.0578322261571884,-0.345079481601715,0.556410670280457,62.7
"127",58.6,36.8,50.4,87.1,36.3,73.9,74,67.8,70.9,76.6,70,50,"1","Seychelles",16458.4100400432,4.60980694269817,0.624744176864624,-0.447204262018204,0.137915700674057,-0.296392291784286,60.4
"128",33.6,34.9,42,87.4,76.6,1.7,31.7,23.7,60.2,63.6,60,20,"2","Singapore",66853.943889556,3.22070818152454,2.31747198104858,-0.574557840824127,-1.06417989730835,-0.0654119327664375,83.5
"129",84.5,55.8,70.6,76.5,41.4,64.2,76.3,58.1,66.1,79.2,75,70,"1","Slovenia",25451.2567765171,2.68563605231648,1.03929400444031,0.292565286159515,0.601919114589691,1.07909941673279,65.9
"130",88.2,60.6,91.9,57.4,27.1,47.4,79.1,65.4,74.1,79.2,70,50,"1","Solomon Islands",2109.74054957075,2.35392716503861,-0.733603537082672,0.776647090911865,0.731421768665314,0.340079069137573,55
"131",44.7,41.7,60.1,71.5,67.7,81.1,45.7,60.5,77.4,65.2,15,30,"2","South Africa",6453.4588014228,0.932405037809964,-0.256946682929993,-1.73283362388611,-1.87981820106506,0.744892179965973,55.3
"132",44.7,48,58.3,65.2,66.9,19.7,61.4,72.1,74.5,72.4,40,40,"2","Spain",29291.3645270725,1.71998795603156,0.752065539360046,0.629368722438812,0.693764328956604,1.19472968578339,63.3
"133",87.2,64,73.6,57,26,0,79.7,63.6,74.1,84.2,80,70,"1","Sri Lanka",3980.26899321413,1.65252244435486,-0.25227889418602,-0.383976995944977,-0.507761836051941,-0.231143683195114,49.2
"134",66.7,62.3,77.3,76.3,61.1,4.5,65.4,59.6,77,57.8,70,40,"1","Sudan",1060.61542302912,-1.70211781160597,-1.97706210613251,-1.50206708908081,-1.6031391620636,-1.60484826564789,33.9
"135",12.5,19.5,4.8,85,95.1,66.5,27.7,41.8,0,29.6,5,20,"2","Suriname",6665.26266690409,-0.992604387669234,-0.967238128185272,-0.404351592063904,-0.728055536746979,0.353224784135818,46.7
"136",41.9,38.1,45.4,70.8,69.8,0,53.3,63.4,44.1,64.2,40,30,"2","Sweden",55213.150117803,1.95926542137155,1.60138332843781,2.0282461643219,1.71801710128784,1.57483160495758,77.5
"137",96.2,93.2,95.4,50.6,28.5,97.1,84.9,65.9,74.4,79.2,85,80,"1","Switzerland",87794.2949817631,1.79591965863523,2.13492703437805,2.02199912071228,1.72938001155853,1.66502690315247,83
"138",94.2,91.3,98.1,70.4,64.6,95.7,89.3,60.7,80.8,86.4,85,80,"1","Tajikistan",939.471538535233,7.20175485882487,-0.772318005561829,-1.37873339653015,-1.17822289466858,-1.63467013835907,51.3
"139",82.2,73.4,94,79.2,90.5,90.3,84.9,69.1,80.1,86.4,70,60,"1","Tanzania",1060.06008078835,5.50191178370054,-0.455080926418304,-0.319897323846817,-0.588394701480865,-0.533726751804352,59.1
"140",29.4,17.3,12.4,92.6,76.1,93,56.2,43.7,67.8,72.2,25,30,"2","Thailand",6599.57949317346,1.87494985420139,0.171705812215805,-0.489050775766373,0.158257782459259,-0.450371354818344,59
"141",45.4,36.8,28.8,80.6,90.7,79.9,47.4,62.2,72.2,60.6,55,50,"2","Timor-Leste",1572.17494589997,2.91069216548066,-0.841954410076141,-0.22670416533947,-0.487927585840225,0.433426916599274,50.2
"142",45,38.1,35.2,81.1,80.3,46.8,70.3,56.3,66.7,72.8,55,60,"2","Togo",850.324267799425,5.00154983596789,-0.578052043914795,-0.619174957275391,-0.493230193853378,-0.782707870006561,50.9
"143",39.9,44.3,36.2,97.9,29.5,19.9,63.8,56.4,70,80,45,20,"2","Tonga",5664.11529031958,1.50708515644505,-0.115239478647709,-0.308315753936768,-0.393207430839539,0.870985329151154,59.2
"144",36.6,27.5,37,69.6,83,19.9,51.2,51.9,69.1,65,60,40,"2","Trinidad and Tobago",19038.4179628296,-1.20423531504063,-0.0436432547867298,-0.374148547649384,-0.130735039710999,0.620708882808685,60.4
"145",63,44.9,68.8,85.4,40.1,95.9,59.7,56.4,64.4,71.8,40,20,"2","Tunisia",3868.86933337929,1.13571499143652,-0.300515085458755,-0.341899782419205,-0.6191326379776,-0.21289698779583,48.8
"146",60.8,42.4,40.5,74.9,64.7,7.3,52.9,55.9,72.7,53.2,30,30,"2","Turkmenistan",6713.14956106968,6.98183250600656,-1.2064995765686,-1.42362427711487,-2.06809759140015,-1.88326275348663,46.3
"147",40.6,35,24.4,72.5,71,77.5,59.2,54.6,38.5,70.8,70,60,"2","Uganda",854.849739134587,4.63172993424094,-0.549508571624756,0.646379947662354,-0.517365336418152,-0.695845246315002,50.7
"148",18.1,7.8,10,94.3,96.7,99.9,37.3,30.3,67.4,74.2,10,10,"2","United Arab Emirates",45456.534780973,3.2048138450114,1.60428190231323,-0.686146318912506,1.04239141941071,-1.0949410200119,71.1
"149",47.3,23.9,29.2,73.5,86.8,18.3,49,54.9,75.1,55.8,55,40,"2","United Kingdom",44159.3038698985,1.66212827164241,1.16114270687103,1.07366383075714,1.53656673431396,1.26162397861481,68.6
"150",64.8,64.9,35.2,100,78.4,98.1,80.2,65.3,78.3,78,50,60,"2","United States",64511.195056129,2.42786906079677,1.21720099449158,1.48091387748718,1.39373278617859,0.877519071102142,70.1
"151",94.6,84.1,84.3,62.3,34.3,0,82.7,63.2,73.6,83.6,80,80,"1","Uruguay",18610.124359831,1.45698710913086,0.850249707698822,1.12343263626099,0.675111055374146,1.28379380702972,69.8
"152",95.1,74.8,76.4,74.8,48.7,0,84.8,77.7,73.8,75.6,80,80,"1","Uzbekistan",2400.32435475102,5.99513564088519,-0.283767521381378,1.57394731044769,-0.576817333698273,-1.30965662002563,55.9
"153",84.8,78.1,81.1,73.8,71.6,75.9,83.9,61,66.2,71.2,60,30,"1","Vanuatu",3097.18001509879,1.69986108416521,-0.568605482578278,-0.807529330253601,-0.119526423513889,0.627497434616089,62.2
"154",0,6.4,3.3,75.9,96.6,36.5,31,35.7,0,42.2,0,10,"2","Zambia",1375.10685436653,3.58699924342943,-0.658970057964325,-0.477706879377365,-0.49810004234314,-0.0479462631046772,48.4
"155",49.6,38.7,35.4,80.4,87.9,94.6,73.9,54.6,69.3,79.8,40,50,"2","Zimbabwe",1871.24573817589,2.04460210831179,-1.17033493518829,-1.26121604442596,-1.33835864067078,-1.09263300895691,38.2
