"","Property_Rights","Government_Integrity","Judicial_Effectiveness","Tax_Burden","Government_Spending","Fiscal_Health","Business_Freedom","Labor_Freedom","Monetary_Freedom","Trade_Freedom","Investment_Freedom","Financial_Freedom","Cluster","Country","Promedio_10_Años_GDP_PerCap","Promedio_10_Años_Crec_pib","Efectividad.gobierno","Control.corrupcion","Cal.Regulacion","Voz_y_Rendicion_cuentas","Overall_score"
"28",38.8,40.7,10.4,72.5,91.4,86.4,46.8,46.2,75.9,53.6,30,50,"2","Cameroon",1573.97940728601,3.86125133381269,-0.906262576580048,-1.16255974769592,-0.913473010063171,-1.0663970708847,53.6
"29",88.6,73.1,95,75.8,34.7,33.9,84.1,69.5,70.3,83.6,80,80,"1","Canada",48409.4684996778,1.80823178422517,1.51680326461792,1.67150104045868,1.64471042156219,1.4796462059021,72.4
"30",7.2,16.7,4.8,65.3,87,56.1,26.6,39.7,70.9,46.6,45,30,"2","Central African Republic",434.81762712778,-1.14104231436622,-1.73500919342041,-1.31139302253723,-1.46841526031494,-1.2622481584549,41.3
"31",27.8,11.1,14.7,77.8,89.1,95.2,28.3,53.5,71.7,47.2,60,40,"2","Chad",726.67531547408,1.44564776065689,-1.4791487455368,-1.48240697383881,-1.15642070770264,-1.43493866920471,51.4
"32",72.5,68.2,87.9,71.8,73.4,66,79.2,58.6,70.9,78,60,70,"1","Chile",14925.67596401,2.04147585220009,0.71755576133728,0.968603789806366,0.925731718540192,1.01794922351837,71.4
"33",46.9,41.6,39.5,69.1,65.7,8.1,68.1,57.8,71.8,73.6,20,20,"2","China",9812.40704179193,6.14698325308409,0.679014027118683,-0.00537010468542576,-0.356507807970047,-1.50455415248871,48.5
"34",45,38.1,58.3,68.7,65.3,19.5,68.8,61.9,72.3,72.6,70,70,"1","Colombia",6693.45256577038,3.02740231330106,-0.075877919793129,-0.309191286563873,0.101034268736839,0.205213740468025,59.2
"35",24.6,14.1,20.4,65.4,89.3,89.2,48.8,55.7,71.7,69.6,45,30,"2","Comoros",1508.08201503016,2.5148169577228,-1.53510224819183,-0.990109264850616,-1.23843240737915,-0.808809578418732,52
"36",30,12.7,13.8,75.5,86,82.9,35.9,42.3,79.8,49.6,35,30,"2","Costa Rica",12646.6000070585,3.31001972108344,0.260196477174759,0.653749406337738,0.543547570705414,1.0699063539505,67.7
"37",44.1,33.3,29.7,78.9,86.7,41.1,64.6,57.1,66.3,73.6,75,50,"2","Croatia",15571.6048848973,2.6634838544751,0.712653696537018,0.181928679347038,0.643900275230408,0.569745063781738,67.2
"38",79.8,51.3,71,81.7,27.1,74.8,76.5,68.2,67.4,79.2,70,60,"1","Cuba",10633.805453017,0.253770879198128,-0.475527822971344,-0.0550908595323563,-1.50136196613312,-1.24890899658203,25.7
"39",30.1,36.2,15.2,51.9,0,0,41.5,20,20.3,72.8,10,10,"2","Cyprus",29283.4447798295,3.42470169770893,0.73773992061615,0.332707405090332,0.778258264064789,0.974570155143738,72.2
"40",89.3,60.7,83.1,79.6,36.2,58.7,77.3,58.9,68.8,79.2,70,80,"1","Denmark",61545.658248537,2.19212152206725,2.01564884185791,2.37605309486389,1.83951985836029,1.66469931602478,77.8
"41",98.6,97.4,89.6,41.8,26.8,98.2,92.7,64.9,74.3,79.2,90,80,"1","Djibouti",2730.14308546593,5.18783788849478,-0.731475412845612,-0.780927419662476,-0.933053493499756,-1.27434647083282,55.8
"42",31.4,26.2,27.6,83.6,83.7,89.3,49.9,50,67.5,49.8,60,50,"2","Dominica",8173.20901504104,0.618117130214901,0.260825008153915,0.544514536857605,0.308252662420273,0.786084830760956,54
"43",67.9,59.4,82.7,76.4,0,7.4,63.7,49.9,75.8,54.8,70,40,"1","Dominican Republic",7883.37351619657,4.99854351676177,0.12803441286087,-0.449474930763245,0.171186909079552,0.325887054204941,62.9
"44",55.5,35.9,58.6,84.4,88.3,57.6,75.5,53.3,66.9,68.4,70,40,"2","Ecuador",6167.4033227198,2.46943780401818,-0.494244992733002,-0.647337436676025,-0.718200981616974,-0.061911303550005,55
"45",40,26.2,21.9,85.4,80.8,11.8,48.9,32.8,72.9,60.2,65,50,"2","El Salvador",4235.28526692644,2.38828537638706,0.0504390224814415,-0.561315059661865,-0.307905405759811,-0.474436670541763,54.4
"46",41.6,33.6,14.4,76.6,71.7,42.8,62.5,54.8,64.9,70,60,60,"2","Equatorial Guinea",8915.21321312401,-4.07518907395083,-1.32034909725189,-1.57037270069122,-1.47442591190338,-1.67685103416443,47.7
"47",21,5.7,8.3,75.1,92.9,97.6,33.3,46.4,72.8,48.8,40,30,"2","Eritrea",15035.5656971373,2.94431417537184,-1.79375612735748,-1.47526490688324,-2.36299300193787,-1.86236107349396,39.5
"48",8.3,15,4.6,80.3,62.3,69,30.7,51.4,63.8,68.4,0,20,"2","Estonia",23203.9844202667,2.21631876439604,1.2634699344635,1.53812229633331,1.42964351177216,1.21992552280426,77.8
"49",92.8,81.2,93.4,80.8,46.8,85.4,83.2,64.2,66.2,79.2,90,70,"1","Eswatini",3710.14314250835,2.94431417537184,-0.884958326816559,-0.73498547077179,-0.717471897602081,-1.16463816165924,55.6
"50",92.8,81.2,93.4,80.8,46.8,85.4,83.2,64.2,66.2,79.2,90,70,"1","Eswatini",3710.14314250835,2.19253700470053,-0.884958326816559,-0.73498547077179,-0.717471897602081,-1.16463816165924,55.6
"51",44.9,29.9,36.4,78.3,72.6,63.6,46.4,54.8,76.6,73.6,50,40,"2","Eswatini",3710.14314250835,2.94431417537184,-0.884958326816559,-0.73498547077179,-0.717471897602081,-1.16463816165924,55.6
"52",44.9,29.9,36.4,78.3,72.6,63.6,46.4,54.8,76.6,73.6,50,40,"2","Eswatini",3710.14314250835,2.19253700470053,-0.884958326816559,-0.73498547077179,-0.717471897602081,-1.16463816165924,55.6
